,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,souillac,-20.52,57.52,71.6,78.0,40.0,8.05
2,tyler,32.35,-95.3,80.6,57.0,1.0,12.75
3,nikolskoye,59.7,30.79,39.0,93.0,90.0,4.47
4,mataura,-46.19,168.86,55.78,67.0,100.0,2.01
5,butaritari,3.07,172.79,83.08,80.0,43.0,11.01
6,albany,42.6,-73.97,52.0,38.0,0.0,1.99
7,ribeira grande,38.52,-28.7,58.59,69.0,10.0,11.1
8,gazojak,41.19,61.4,64.15,52.0,3.0,5.08
9,saint-philippe,-21.36,55.77,69.8,64.0,38.0,8.05
10,tocopilla,-22.09,-70.2,64.24,64.0,31.0,10.85
11,kimbe,-5.55,150.14,89.28,62.0,15.0,4.16
12,rikitea,-23.12,-134.97,78.12,82.0,0.0,11.97
13,port moresby,-9.44,147.18,83.79,69.0,0.0,8.66
14,ilulissat,69.22,-51.1,37.4,86.0,2.0,8.05
15,qaanaaq,77.48,-69.36,35.74,77.0,3.0,2.04
16,shemordan,56.19,50.4,36.1,87.0,32.0,9.35
17,taraz,42.9,71.37,60.8,82.0,90.0,4.47
18,provideniya,64.38,-173.3,37.4,86.0,75.0,11.18
19,asosa,10.07,34.53,68.07,71.0,92.0,4.43
20,sao filipe,14.9,-24.5,71.58,77.0,42.0,11.36
21,traiguen,-38.25,-72.68,49.98,78.0,100.0,2.64
22,prince george,53.92,-122.75,73.99,18.0,1.0,9.17
23,punta arenas,-53.15,-70.92,41.0,75.0,75.0,10.29
24,tiksi,71.69,128.87,32.22,97.0,100.0,7.76
25,dikson,73.51,80.55,20.91,93.0,56.0,9.28
26,bay roberts,47.6,-53.26,39.0,61.0,99.0,5.01
28,redmond,47.67,-122.12,66.0,50.0,8.0,6.46
29,najran,17.49,44.13,78.8,31.0,0.0,1.01
30,salalah,17.02,54.09,81.79,70.0,0.0,7.02
31,saldanha,-33.01,17.94,50.0,87.0,0.0,3.36
32,marica,-22.92,-42.82,77.0,69.0,100.0,2.24
33,qostanay,53.17,63.58,59.0,67.0,75.0,4.47
34,kamenka,51.32,42.77,37.99,89.0,1.0,4.45
35,touros,-5.2,-35.46,77.0,94.0,40.0,3.36
36,waslala,13.23,-85.38,74.71,87.0,1.0,2.17
37,zyryanka,65.75,150.85,46.24,68.0,1.0,6.15
38,busselton,-33.65,115.33,59.0,67.0,0.0,3.87
39,grants,35.15,-107.85,73.4,11.0,1.0,17.22
40,hilo,19.73,-155.09,84.2,51.0,1.0,13.87
41,tura,25.52,90.22,78.67,66.0,0.0,3.94
42,ewa beach,21.32,-158.01,82.4,58.0,40.0,13.87
43,hermanus,-34.42,19.23,58.64,76.0,0.0,6.02
44,kaitangata,-46.28,169.85,51.01,79.0,100.0,1.01
45,berlevag,70.86,29.09,35.35,84.0,100.0,6.89
46,ponta delgada,37.73,-25.67,57.2,58.0,40.0,11.41
47,barrow,71.29,-156.79,23.0,79.0,40.0,21.92
48,petatlan,17.52,-101.27,86.0,66.0,5.0,5.82
49,nishihara,26.18,127.76,78.8,73.0,20.0,13.87
50,puerto ayora,-0.74,-90.35,75.99,93.0,95.0,1.01
51,yellowknife,62.46,-114.35,32.0,46.0,75.0,13.87
52,vaini,-21.2,-175.2,78.8,83.0,75.0,10.29
53,buritizeiro,-17.35,-44.96,66.52,89.0,0.0,1.99
54,vardo,70.37,31.11,35.67,83.0,100.0,19.98
55,vancouver,49.25,-123.12,63.0,72.0,75.0,6.93
56,chokurdakh,70.63,147.92,33.6,97.0,52.0,9.84
57,kasaragod,12.5,75.0,78.8,83.0,20.0,3.36
58,sechura,-5.56,-80.82,73.45,71.0,76.0,14.56
59,mar del plata,-38.0,-57.56,51.01,75.0,40.0,3.36
60,baykit,61.67,96.37,40.55,63.0,35.0,7.81
61,vila velha,-20.33,-40.29,73.99,83.0,27.0,5.82
62,aleksandrov gay,50.15,48.57,49.86,79.0,100.0,17.74
63,na wa,17.49,104.1,87.01,69.0,20.0,8.05
64,tual,-5.67,132.75,81.43,83.0,100.0,22.68
65,pakxan,18.38,103.66,86.4,56.0,0.0,3.6
66,boden,65.83,21.69,26.6,79.0,0.0,3.36
67,rio grande,-32.03,-52.1,51.01,92.0,0.0,11.72
68,mizur,42.85,44.05,53.6,87.0,38.0,4.47
69,havre-saint-pierre,50.23,-63.6,37.4,47.0,90.0,16.11
70,kapaa,22.08,-159.32,80.6,74.0,20.0,11.41
71,askarovo,53.34,58.51,44.6,81.0,30.0,8.95
74,ambovombe,-25.17,46.08,65.1,87.0,0.0,6.67
75,codrington,-38.27,141.97,54.09,59.0,99.0,4.99
76,hobart,-42.88,147.33,55.99,58.0,20.0,11.41
77,bengkulu,-3.8,102.27,81.45,77.0,55.0,3.29
78,college,64.86,-147.8,60.8,29.0,40.0,23.04
80,atuona,-9.8,-139.03,81.81,77.0,55.0,15.32
81,cayenne,4.93,-52.33,80.6,83.0,100.0,11.25
82,biak,-0.91,122.88,84.22,70.0,96.0,5.93
84,lorengau,-2.02,147.27,86.23,70.0,26.0,8.68
85,arraial do cabo,-22.97,-42.03,74.35,83.0,100.0,17.74
86,kyzyl-suu,42.34,78.0,53.98,63.0,0.0,2.89
87,fortuna,40.6,-124.16,60.01,82.0,20.0,3.36
88,mount gambier,-37.83,140.77,51.8,76.0,90.0,5.82
89,vila franca do campo,37.72,-25.43,57.2,58.0,40.0,11.41
90,khatanga,71.97,102.5,28.81,99.0,98.0,9.1
91,acajutla,13.59,-89.83,84.2,70.0,20.0,4.7
92,fairbanks,64.84,-147.72,60.8,28.0,1.0,19.46
94,hovd,48.01,91.64,60.33,37.0,0.0,4.41
95,kongolo,-5.38,27.0,70.72,92.0,100.0,1.66
96,ushuaia,-54.8,-68.3,42.8,60.0,75.0,3.36
97,isla mujeres,21.23,-86.73,82.4,83.0,40.0,9.17
98,norman wells,65.28,-126.83,33.8,37.0,40.0,14.99
99,senno,59.53,33.92,38.16,96.0,100.0,5.77
100,tuktoyaktuk,69.45,-133.04,23.0,73.0,75.0,12.75
101,kodiak,57.79,-152.41,53.6,54.0,1.0,8.05
102,margate,51.38,1.39,46.0,50.0,0.0,5.01
103,georgetown,5.41,100.34,84.2,88.0,20.0,6.17
104,richmond,37.55,-77.46,66.2,34.0,20.0,6.93
105,jamestown,42.1,-79.24,48.2,26.0,1.0,6.93
106,kinshasa,-4.32,15.32,75.25,86.0,99.0,1.43
107,east london,-33.02,27.91,63.1,67.0,1.0,14.97
108,touba,8.28,-7.68,74.23,72.0,0.0,2.93
109,cockburn town,21.46,-71.14,80.37,81.0,50.0,19.17
110,kruszwica,52.68,18.33,41.0,80.0,100.0,6.8
111,bethel,41.37,-73.41,55.4,22.0,1.0,9.17
112,tiarei,-17.53,-149.33,84.2,70.0,7.0,3.36
113,castro,-24.79,-50.01,57.83,96.0,31.0,4.56
114,le port,-20.94,55.29,71.6,73.0,2.0,12.75
115,kargasok,59.06,80.86,50.11,65.0,10.0,11.07
116,aden,12.78,45.04,87.35,63.0,0.0,11.54
117,mahebourg,-20.41,57.7,71.6,78.0,40.0,8.05
118,nam som,17.77,102.19,84.2,79.0,75.0,4.7
121,namtsy,62.72,129.67,46.4,65.0,100.0,6.71
122,port elizabeth,-33.92,25.57,60.8,82.0,1.0,14.99
123,voloshka,61.33,40.09,29.14,98.0,5.0,6.31
124,nanortalik,60.14,-45.24,39.87,94.0,100.0,8.63
125,linqing,36.85,115.71,66.33,71.0,100.0,10.38
126,peleduy,59.63,112.74,41.25,61.0,1.0,7.78
127,bathsheba,13.22,-59.52,80.6,65.0,20.0,14.99
129,pimentel,-6.84,-79.93,68.47,85.0,36.0,13.29
130,iqaluit,63.75,-68.51,23.0,79.0,20.0,6.93
131,upernavik,72.79,-56.15,34.66,88.0,100.0,0.67
132,talnakh,69.49,88.4,26.6,86.0,40.0,15.66
133,aquiraz,-3.9,-38.39,82.4,78.0,20.0,5.82
134,carnarvon,-24.87,113.63,75.51,25.0,0.0,9.86
135,tasiilaq,65.61,-37.64,28.4,92.0,0.0,4.7
136,iracoubo,5.48,-53.2,78.26,87.0,100.0,11.32
137,mikhaylovka,50.06,43.24,40.37,79.0,19.0,7.74
138,viljoenskroon,-27.21,26.95,46.89,53.0,0.0,3.78
139,airai,-8.93,125.41,68.85,77.0,0.0,4.97
140,thompson,55.74,-97.86,55.4,26.0,40.0,9.17
141,avarua,-21.21,-159.78,80.6,94.0,7.0,6.93
142,nybro,56.74,15.91,36.0,92.0,1.0,2.24
143,pevek,69.7,170.31,31.86,97.0,98.0,2.28
144,longyearbyen,78.22,15.64,33.8,64.0,40.0,26.4
145,cedar city,37.68,-113.06,68.0,24.0,1.0,16.11
146,port alfred,-33.59,26.89,64.0,73.0,32.0,5.99
147,constitucion,-35.33,-72.42,55.17,68.0,100.0,9.13
148,cherskiy,68.75,161.3,37.42,78.0,0.0,7.52
149,nador,35.17,-2.93,60.8,82.0,100.0,3.36
150,milkovo,54.72,158.62,53.31,47.0,0.0,2.98
152,san isidro,-12.12,-77.05,66.2,82.0,83.0,14.99
153,tilichiki,60.47,166.1,32.94,97.0,13.0,6.15
154,tortoli,39.93,9.66,64.4,93.0,40.0,5.82
155,fredonia,42.44,-79.33,48.2,31.0,1.0,4.41
156,te anau,-45.42,167.72,55.83,53.0,2.0,10.71
157,mingoyo,-10.1,39.63,71.24,93.0,85.0,3.71
158,sioux lookout,50.1,-91.92,48.2,92.0,90.0,10.29
159,severo-kurilsk,50.68,156.12,39.78,79.0,22.0,19.6
160,asau,46.43,26.4,50.0,81.0,100.0,4.56
161,ishigaki,24.34,124.16,80.6,88.0,40.0,13.87
162,teguldet,57.31,88.17,46.49,81.0,100.0,11.27
163,bredasdorp,-34.53,20.04,48.2,93.0,0.0,5.82
164,port blair,11.67,92.75,78.66,89.0,100.0,8.59
165,general roca,-39.03,-67.58,50.0,61.0,11.0,3.36
166,ahipara,-35.17,173.17,65.79,60.0,49.0,5.93
167,havoysund,71.0,24.66,28.4,54.0,100.0,2.24
168,khvastovichi,53.47,35.09,38.82,85.0,61.0,6.29
169,vanimo,-2.67,141.3,85.82,71.0,68.0,1.77
170,port macquarie,-31.43,152.92,66.99,63.0,0.0,12.75
171,bondo,3.81,23.69,71.98,83.0,69.0,1.5
172,saskylakh,71.92,114.08,33.12,97.0,100.0,9.22
174,luderitz,-26.65,15.16,55.4,76.0,0.0,6.93
175,mayo,38.89,-76.51,59.0,67.0,1.0,9.17
176,wiwili,13.63,-85.83,78.85,71.0,4.0,4.88
178,auki,-8.77,160.7,86.99,66.0,81.0,1.92
179,mezen,65.85,44.24,36.23,97.0,100.0,10.49
180,emporia,38.4,-96.18,66.2,93.0,90.0,17.22
181,namatanai,-3.67,152.43,83.39,79.0,75.0,7.87
182,uchana,29.47,76.17,84.16,38.0,100.0,1.66
183,umm lajj,25.02,37.27,82.47,37.0,100.0,5.23
184,petropavlovsk-kamchatskiy,53.05,158.65,51.8,50.0,0.0,11.18
185,fort nelson,58.81,-122.7,37.4,84.0,90.0,8.05
186,raga,8.46,25.68,77.38,68.0,44.0,8.95
187,letka,59.6,49.42,33.6,92.0,1.0,8.37
188,sovetskaya gavan,48.97,140.29,49.17,75.0,44.0,8.68
189,talisayan,6.99,121.93,84.2,83.0,20.0,6.93
190,cape town,-33.93,18.42,51.8,100.0,0.0,1.12
192,karratha,-20.74,116.85,75.47,19.0,27.0,17.94
193,bluff,-46.6,168.33,57.25,67.0,100.0,13.53
194,narsaq,60.92,-46.05,42.8,81.0,100.0,8.05
195,banjar,-8.19,114.97,80.6,100.0,40.0,12.75
196,marigot,18.07,-63.08,82.4,69.0,20.0,9.17
197,hasaki,35.73,140.83,75.0,25.0,0.0,10.29
198,dubovskoye,47.41,42.76,43.36,78.0,0.0,5.48
199,tabuk,17.42,121.44,84.22,68.0,59.0,4.56
